question	query
who is working in renewable energy?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Energy> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "energy")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in web3 Social?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Social> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "web3 social")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in PoliticsActivism?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:PoliticsActivism> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "politics") || CONTAINS(LCASE(?knowledge), "activism")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in nature solutions?	SELECT ?name ?twitter WHERE { { ?entity a http://schema.org/Organization . ?entity http://schema.org/areaserved https://refidao.com/urn:impactarea:Nature . ?entity http://schema.org/name ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . }} UNION { ?entity a http://schema.org/Person . ?entity http://schema.org/knowsabout ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "nature")) . ?entity http://schema.org/name ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in innovation?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Innovation> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "innovation")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in industry?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Industry> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "industry")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in health?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:Health> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "health")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in fundraising or investment?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:FundraisingInvestment> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "fundraising") || CONTAINS(LCASE(?knowledge), "investment")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in food or agriculture?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:FoodAgriculture> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "food") || CONTAINS(LCASE(?knowledge), "agriculture")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
who is working in infrastructure?	SELECT ?name ?twitter WHERE { { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaserved> <https://refidao.com/urn:impactarea:DigitalInfrastructure> . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } UNION { ?entity a <http://schema.org/Person> . ?entity <http://schema.org/knowsabout> ?knowledge . FILTER(CONTAINS(LCASE(?knowledge), "infrastructure")) . ?entity <http://schema.org/name> ?name . OPTIONAL { ?entity <http://schema.org/twitter> ?twitter . } } FILTER (!STRSTARTS(STR(?entity), "_:")) }
