what organizations are working in renewable energy?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Energy> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in web3 Social?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Social> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in PoliticsActivism?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:PoliticsActivism> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in nature solutions?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Nature> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in innovation?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Innovation> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in industry?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Industry> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in health?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Health> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in fundraising or investment?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FundraisingInvestment> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in food or agriculture?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:FoodAgriculture> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in infrastructure?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:DigitalInfrastructure> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in carbon?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Carbon> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
what organizations are working in education?	SELECT ?name WHERE { ?entity a <http://schema.org/Organization> . ?entity <http://schema.org/areaServed> <https://example.com/urn:impactarea:Education> . ?entity <http://schema.org/name> ?name . FILTER (!STRSTARTS(STR(?entity), "_:"))}
